,alpha Estimate,Beta Estimate,alpha Std. Error,Beta Estimate Std. Error,alpha p-value,beta p-value
280,0.000119011,0.001246482,7.03E-06,0.000278727,8.78E-57,8.63E-06
281,0.000119094,0.001230546,7.01E-06,0.000277989,4.14E-57,1.06E-05
282,0.000119072,0.001216334,6.99E-06,0.000277317,2.50E-57,1.28E-05
283,0.00011884,0.001204711,6.98E-06,0.000276678,2.30E-57,1.47E-05
284,0.000118478,0.001194752,6.96E-06,0.000276092,2.84E-57,1.66E-05
285,0.000118079,0.001183592,6.95E-06,0.000275539,3.87E-57,1.91E-05
286,0.00011765,0.001169903,6.94E-06,0.000275029,5.79E-57,2.30E-05
287,0.000117128,0.001147697,6.92E-06,0.000274596,1.10E-56,3.17E-05
288,0.000116613,0.001127275,6.92E-06,0.000274217,2.16E-56,4.26E-05
289,0.000116134,0.001107024,6.91E-06,0.000273828,3.93E-56,5.68E-05
290,0.000115706,0.001088165,6.90E-06,0.000273424,6.43E-56,7.39E-05
291,0.000115271,0.001074137,6.89E-06,0.000273014,1.06E-55,8.91E-05
292,0.000114863,0.001059203,6.87E-06,0.000272614,1.67E-55,0.000108852
293,0.000114407,0.001044811,6.87E-06,0.000272286,3.07E-55,0.000132199
294,0.000113922,0.001033021,6.86E-06,0.000272005,6.19E-55,0.000154712
295,0.000113483,0.001022141,6.85E-06,0.000271716,1.14E-54,0.000178421
296,0.00011295,0.001008601,6.85E-06,0.000271507,2.65E-54,0.00021451
297,0.000112335,0.000996451,6.84E-06,0.000271376,7.71E-54,0.000253449
298,0.00011163,0.00098526,6.84E-06,0.000271289,2.74E-53,0.000295652
299,0.000110824,0.000974843,6.84E-06,0.000271239,1.21E-52,0.000341341
300,NA,NA,NA,NA,NA,NA
301,NA,NA,NA,NA,NA,NA
